"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     
          0,           0,           0,      -3.994335563,      -15.70125153,      -15.85397071,      -3.426134653,      0.1590334799,       6.146864962,      0.1487170474,      0.1207318782,                 0,                 0,                 0,     0.03407671775,      0.1353146288,      0.1355835456,                 0,      0.8118227215,    0.001170379816
          0,           0,           1,       -3.93753717,      -3.890077015,      -3.812251061,      -3.385710036,     -0.4404150787,        5.54764174,      0.2260086001,      0.2966576927,                 0,                 0,                 0,     0.07833092046,       0.193836961,      0.3186109014,                 0,       1.312594709,    0.001170379816
          0,           0,           2,      -3.843922195,      -3.888839161,       -3.68776107,      -3.298266776,      -1.037786777,        4.95067265,      0.3068484609,      0.4645841521,                 0,                 0,                 0,      0.1188809414,      0.2567225233,      0.4940525866,                 0,       1.514050782,    0.001170379816
          0,           0,           3,       -3.82357093,      -3.881781156,       -3.67742211,      -3.280617598,      -1.631563411,       4.357604635,      0.3840554177,      0.6128750088,                 0,                 0,                 0,      0.1530441227,      0.3180428371,      0.6495868641,                 0,       1.595798368,    0.001170379816
          0,           0,           4,      -3.830362922,      -3.908576754,       -3.71366823,       -3.28841222,      -2.219390976,       3.771002874,      0.4518321146,      0.7316612208,                 0,                 0,                 0,      0.1789795758,      0.3730614272,      0.7747938909,                 0,       1.619320976,    0.001170379816
          0,           0,           5,      -3.844522407,      -3.947639064,      -3.773247447,      -3.302154738,       -2.79781875,       3.194761163,      0.5038137278,      0.8132969733,                 0,                 0,                 0,      0.1956642496,      0.4162455797,      0.8614057444,                 0,       1.614281089,    0.001170379816
          0,           0,           6,      -3.858074029,      -3.987925895,      -3.842545296,      -3.314232601,      -3.359792177,       2.637509877,      0.5346402508,      0.8544785375,                 0,                 0,                 0,      0.2032152436,      0.4426090718,      0.9055777042,                 0,       1.598230841,    0.001170379816
          0,           0,           7,      -3.869902931,      -4.025931469,      -3.908732068,      -3.324059025,      -3.889389829,       2.121432953,      0.5421344873,      0.8580099203,                 0,                 0,                 0,       0.202990698,      0.4496941435,      0.9098714211,                 0,       1.582651428,    0.001170379816
          0,           0,           8,      -3.882877345,      -4.062820794,      -3.959037621,      -3.335048201,      -4.370736473,       1.689814773,      0.5285946926,      0.8329886226,                 0,                 0,                 0,      0.1974299501,      0.4388377168,      0.8835744749,                 0,       1.575855063,    0.001170379816
          0,           0,           9,      -3.900985093,       -4.09917733,      -3.987738118,      -3.351668893,       -4.79272006,        1.38771784,      0.5009952289,      0.7930020342,                 0,                 0,                 0,      0.1894753836,      0.4155590589,      0.8409275321,                 0,       1.582853465,    0.001170379816
          0,           0,          10,      -3.926926175,      -4.132664756,      -4.002080033,      -3.377019327,      -5.150090804,        1.14331156,      0.4696250823,      0.7524036802,                 0,                 0,                 0,      0.1818518452,      0.3885940834,      0.7972789061,                 0,       1.602136914,    0.001170379816
          0,           0,          11,      -3.960188011,       -4.16201352,      -4.015833279,      -3.410497639,      -5.447913425,      0.8536462184,      0.4442017631,      0.7217317908,                 0,                 0,                 0,      0.1762360307,      0.3665082505,      0.7641228216,                 0,       1.624783715,    0.001170379816
          0,           0,          12,      -3.997030175,      -4.190691212,      -4.038884975,      -3.447425193,      -5.698172047,      0.5388736383,      0.4296010633,      0.7058526202,                 0,                 0,                 0,       0.173455826,      0.3536432498,      0.7468075033,                 0,        1.64304207,    0.001170379816
          0,           0,          13,      -4.034031211,      -4.221109421,      -4.073721533,      -3.483950096,      -5.912241171,      0.4487395564,      0.4250566092,      0.7037340205,                 0,                 0,                 0,      0.1733123825,      0.3493445319,      0.7442265049,                 0,       1.655624228,    0.001170379816
